doctor_id,first_name,last_name,specialization,phone_number,years_experience,hospital_id,hospital_branch,email,reputation_score,public_medical_opinion_index
DOC-00002221,Tiburcio,Camus,Obstetrics,+34800274339,12,HOSP-SWE-00068,Södersjukhuset,dr.tiburcio.camus@södersjukhuset.com,2.9,60.94
DOC-00002222,Geneviève,آل عايض,Ophthalmology,0731177939,6,HOSP-SWE-00068,Södersjukhuset,dr.geneviève.آل عايض@södersjukhuset.com,2.93,56.45
DOC-00002223,Lamberto,Bailey,Obstetrics,+34900 84 72 00,5,HOSP-SWE-00068,Södersjukhuset,dr.lamberto.bailey@södersjukhuset.com,2.78,48.37
DOC-00002224,Goffredo,李,Ophthalmology,02-3304-9149,3,HOSP-SWE-00068,Södersjukhuset,dr.goffredo.李@södersjukhuset.com,2.77,50.19
DOC-00002225,桂芳,Borges,Ophthalmology,080-7326-4259,8,HOSP-SWE-00068,Södersjukhuset,dr.桂芳.borges@södersjukhuset.com,2.6,58.11
DOC-00002226,सुशीला,Miller,Anesthesiology,3636003545,7,HOSP-SWE-00068,Södersjukhuset,dr.सुशीला.miller@södersjukhuset.com,2.56,53.45
DOC-00002227,Kayla,Batalla,Anesthesiology,016-415-6983,10,HOSP-SWE-00068,Södersjukhuset,dr.kayla.batalla@södersjukhuset.com,3.29,59.47
DOC-00002228,Thomas,김,Obstetrics,+49(0)6149 520855,5,HOSP-SWE-00068,Södersjukhuset,dr.thomas.김@södersjukhuset.com,2.37,40.34
DOC-00002229,直樹,Bassi,Obstetrics,+39 018457717,10,HOSP-SWE-00068,Södersjukhuset,dr.直樹.bassi@södersjukhuset.com,3.01,67.5
DOC-00002230,太郎,Schmitt,Anesthesiology,(07).8559.0452,9,HOSP-SWE-00068,Södersjukhuset,dr.太郎.schmitt@södersjukhuset.com,3.39,72.07
DOC-00002231,佳,Canetta,Anesthesiology,+91 2315780788,13,HOSP-SWE-00068,Södersjukhuset,dr.佳.canetta@södersjukhuset.com,3.31,75.92
DOC-00002232,Mark,张,Ophthalmology,+33 (0)2 31 28 71 01,14,HOSP-SWE-00068,Södersjukhuset,dr.mark.张@södersjukhuset.com,2.95,51.84
DOC-00002233,श्रेष्ठ,Anderson,Anesthesiology,+55 (011) 6629-8495,7,HOSP-SWE-00068,Södersjukhuset,dr.श्रेष्ठ.anderson@södersjukhuset.com,3.41,72.37
DOC-00002234,Anselm,Viana,Pathology,(061) 6162 4373,7,HOSP-SWE-00068,Södersjukhuset,dr.anselm.viana@södersjukhuset.com,2.76,55.25
DOC-00002235,Laura,Thompson,Ophthalmology,090-6964-3842,6,HOSP-SWE-00068,Södersjukhuset,dr.laura.thompson@södersjukhuset.com,2.37,42.89
DOC-00002236,William,Colin,Surgery,13538193957,9,HOSP-SOU-00069,Seoul National University Hospital,dr.william.colin@seoulnationalunivers.com,2.84,62.96
DOC-00002237,동현,吉田,Orthopedics,(01632) 960 607,16,HOSP-SOU-00069,Seoul National University Hospital,dr.동현.吉田@seoulnationalunivers.com,3.83,79.1
DOC-00002238,Émilie,Nunes,Surgery,+61 415 015 146,14,HOSP-SOU-00069,Seoul National University Hospital,dr.émilie.nunes@seoulnationalunivers.com,3.15,70.23
DOC-00002239,Lara,Martins,Pediatrics,+39 04440217423,14,HOSP-SOU-00069,Seoul National University Hospital,dr.lara.martins@seoulnationalunivers.com,3.47,75.04
DOC-00002240,Owen,Jones,Radiology,(430) 590-7602,14,HOSP-SOU-00069,Seoul National University Hospital,dr.owen.jones@seoulnationalunivers.com,2.87,64.0
DOC-00002241,Kayla,حجار,Cardiology,1 (282) 556-8043,5,HOSP-SOU-00069,Seoul National University Hospital,dr.kayla.حجار@seoulnationalunivers.com,3.13,55.36
DOC-00002242,Angela,李,Anesthesiology,0121 496 0822,7,HOSP-SOU-00069,Seoul National University Hospital,dr.angela.李@seoulnationalunivers.com,2.48,56.9
DOC-00002243,Daniel,Marsili,Psychiatry,03338 667369,3,HOSP-SOU-00069,Seoul National University Hospital,dr.daniel.marsili@seoulnationalunivers.com,3.08,71.14
DOC-00002244,婷,المهيدب,Surgery,+91 504 3212775,10,HOSP-SOU-00069,Seoul National University Hospital,dr.婷.المهيدب@seoulnationalunivers.com,3.43,59.37
DOC-00002245,지후,Turpin,Cardiology,070-4879-1383,9,HOSP-SOU-00069,Seoul National University Hospital,dr.지후.turpin@seoulnationalunivers.com,3.52,74.11
DOC-00002246,慧,이,Anesthesiology,18005468733,10,HOSP-SOU-00069,Seoul National University Hospital,dr.慧.이@seoulnationalunivers.com,2.72,46.58
DOC-00002247,Nicole,Nguyen,Orthopedics,3926678353,4,HOSP-SOU-00069,Seoul National University Hospital,dr.nicole.nguyen@seoulnationalunivers.com,2.88,62.71
DOC-00002248,拓真,Lucena,Radiology,61 9101-2776,10,HOSP-SOU-00069,Seoul National University Hospital,dr.拓真.lucena@seoulnationalunivers.com,3.31,70.96
DOC-00002249,Luigi,Oliveira,Surgery,+34 871922461,1,HOSP-SOU-00069,Seoul National University Hospital,dr.luigi.oliveira@seoulnationalunivers.com,2.5,41.44
DOC-00002250,英,Pohl,Pediatrics,+55 (084) 4898 7601,11,HOSP-SOU-00069,Seoul National University Hospital,dr.英.pohl@seoulnationalunivers.com,2.74,58.17
DOC-00002251,Daniel,Rogers,Orthopedics,13849603747,10,HOSP-SOU-00069,Seoul National University Hospital,dr.daniel.rogers@seoulnationalunivers.com,3.33,58.41
DOC-00002252,Ciríaco,백,Pathology,+33 (0)4 11 15 95 82,7,HOSP-SOU-00069,Seoul National University Hospital,dr.ciríaco.백@seoulnationalunivers.com,3.02,68.9
DOC-00002253,عبد القدّوس,岳,Internal Medicine,(218)230-7527,1,HOSP-SOU-00069,Seoul National University Hospital,dr.عبد القدّوس.岳@seoulnationalunivers.com,2.71,49.0
DOC-00002254,Dawn,Monnier,Cardiology,(03).9216.6397,5,HOSP-SOU-00069,Seoul National University Hospital,dr.dawn.monnier@seoulnationalunivers.com,2.7,63.52
DOC-00002255,성진,Bonaventura,Ophthalmology,+91 1081807252,9,HOSP-SOU-00069,Seoul National University Hospital,dr.성진.bonaventura@seoulnationalunivers.com,3.49,72.13
DOC-00002256,学,Mills,Cardiology,+33 (0)3 21 62 46 56,11,HOSP-SOU-00069,Seoul National University Hospital,dr.学.mills@seoulnationalunivers.com,2.74,62.56
DOC-00002257,Osvaldo,Borsiere,Cardiology,+49(0)1217070201,14,HOSP-SOU-00069,Seoul National University Hospital,dr.osvaldo.borsiere@seoulnationalunivers.com,3.47,67.69
DOC-00002258,Iolanda,朱,Gynecology,14596267118,6,HOSP-SOU-00069,Seoul National University Hospital,dr.iolanda.朱@seoulnationalunivers.com,2.63,48.43
DOC-00002259,نوال,Savage,Oncology,001-928-287-6991x012,6,HOSP-SOU-00069,Seoul National University Hospital,dr.نوال.savage@seoulnationalunivers.com,3.31,68.96
DOC-00002260,Zeljko,Cavalcante,Anesthesiology,09082 297820,15,HOSP-SOU-00069,Seoul National University Hospital,dr.zeljko.cavalcante@seoulnationalunivers.com,3.87,79.67
DOC-00002261,Shirley,刘,Urology,+49(0)5836 248038,11,HOSP-SOU-00069,Seoul National University Hospital,dr.shirley.刘@seoulnationalunivers.com,2.83,50.86
DOC-00002262,재호,Blanchet,Cardiology,080-6337-1577,9,HOSP-SOU-00069,Seoul National University Hospital,dr.재호.blanchet@seoulnationalunivers.com,2.55,45.65
DOC-00002263,영식,Dietz,Internal Medicine,+55 81 8275 5802,5,HOSP-SOU-00069,Seoul National University Hospital,dr.영식.dietz@seoulnationalunivers.com,2.34,41.55
DOC-00002264,峰,Sims,Cardiology,774-996-6746x4438,11,HOSP-SOU-00069,Seoul National University Hospital,dr.峰.sims@seoulnationalunivers.com,3.36,68.2
DOC-00002265,稔,Pastor,Rheumatology,01906899193,9,HOSP-SOU-00069,Seoul National University Hospital,dr.稔.pastor@seoulnationalunivers.com,3.24,56.0
DOC-00002266,Sarah,चवन,Ophthalmology,(031) 5769 4742,5,HOSP-SOU-00069,Seoul National University Hospital,dr.sarah.चवन@seoulnationalunivers.com,2.45,53.1
DOC-00002267,Michael,杨,Anesthesiology,+33 (0)3 64 22 13 96,18,HOSP-SOU-00069,Seoul National University Hospital,dr.michael.杨@seoulnationalunivers.com,3.62,81.38
DOC-00002268,Kay-Uwe,da Rocha,Oncology,18987084815,5,HOSP-SOU-00069,Seoul National University Hospital,dr.kay-uwe.da rocha@seoulnationalunivers.com,2.8,52.16
DOC-00002269,Valentina,Ward,Anesthesiology,03 79 80 56 66,6,HOSP-SOU-00069,Seoul National University Hospital,dr.valentina.ward@seoulnationalunivers.com,2.85,50.68
DOC-00002270,Lilla,Wright,Ophthalmology,+55 84 7943 0311,8,HOSP-SOU-00069,Seoul National University Hospital,dr.lilla.wright@seoulnationalunivers.com,2.94,50.96
DOC-00002271,Yvonne,Pruvost,Surgery,1 (913) 883-3562,14,HOSP-SOU-00069,Seoul National University Hospital,dr.yvonne.pruvost@seoulnationalunivers.com,3.52,76.97
DOC-00002272,玉梅,da Conceição,Surgery,38922090659,21,HOSP-SOU-00069,Seoul National University Hospital,dr.玉梅.da conceição@seoulnationalunivers.com,3.62,69.11
DOC-00002273,هيمان,Albuquerque,Surgery,(028)9018581,13,HOSP-SOU-00069,Seoul National University Hospital,dr.هيمان.albuquerque@seoulnationalunivers.com,3.72,70.11
DOC-00002274,Tatjana,Patton,Ophthalmology,+39 0438235601,8,HOSP-SOU-00069,Seoul National University Hospital,dr.tatjana.patton@seoulnationalunivers.com,3.34,59.63
DOC-00002275,روفيدا,Levy,Radiology,02344442630,13,HOSP-SOU-00069,Seoul National University Hospital,dr.روفيدا.levy@seoulnationalunivers.com,3.15,61.5
DOC-00002276,Gotthilf,मिस्त्री,Orthopedics,+55 (061) 9062-1725,9,HOSP-SOU-00069,Seoul National University Hospital,dr.gotthilf.मिस्त्री@seoulnationalunivers.com,2.95,61.73
DOC-00002277,محفوظ,Rörricht,Gastroenterology,+55 (081) 6110-8845,7,HOSP-SOU-00069,Seoul National University Hospital,dr.محفوظ.rörricht@seoulnationalunivers.com,3.14,56.8
DOC-00002278,Donna,Spears,Neurology,884 069 0404,20,HOSP-SOU-00069,Seoul National University Hospital,dr.donna.spears@seoulnationalunivers.com,3.99,78.78
DOC-00002279,坤,Palmisano,Gynecology,0719443495,4,HOSP-SOU-00069,Seoul National University Hospital,dr.坤.palmisano@seoulnationalunivers.com,3.13,71.2
DOC-00002280,서윤,Raymond,Infectious Disease,15316452292,9,HOSP-SOU-00069,Seoul National University Hospital,dr.서윤.raymond@seoulnationalunivers.com,2.63,51.77
DOC-00002281,Adele,المشاولة,Cardiology,+55 41 6392-3110,17,HOSP-SOU-00069,Seoul National University Hospital,dr.adele.المشاولة@seoulnationalunivers.com,3.42,67.15
DOC-00002282,अवन्ती,斎藤,Orthopedics,15589276573,16,HOSP-SOU-00069,Seoul National University Hospital,dr.अवन्ती.斎藤@seoulnationalunivers.com,3.3,59.14
DOC-00002283,David,Lewis,Ophthalmology,(02).6998.3266,13,HOSP-SOU-00069,Seoul National University Hospital,dr.david.lewis@seoulnationalunivers.com,3.41,68.53
DOC-00002284,Gundel,Garcia,Anesthesiology,197-509-9731 x848,3,HOSP-SOU-00069,Seoul National University Hospital,dr.gundel.garcia@seoulnationalunivers.com,2.3,46.95
DOC-00002285,Maurilio,Finley,Nephrology,+91 539 5226738,6,HOSP-SOU-00069,Seoul National University Hospital,dr.maurilio.finley@seoulnationalunivers.com,2.59,42.23
DOC-00002286,裕太,박,Nephrology,1548-8967,10,HOSP-SOU-00069,Seoul National University Hospital,dr.裕太.박@seoulnationalunivers.com,2.8,59.18
DOC-00002287,Jacqueline,Menard,Neurology,001-484-624-7041,6,HOSP-SOU-00069,Seoul National University Hospital,dr.jacqueline.menard@seoulnationalunivers.com,3.33,63.57
DOC-00002288,Troy,कुमार,Oncology,+44113 496 0976,3,HOSP-SOU-00069,Seoul National University Hospital,dr.troy.कुमार@seoulnationalunivers.com,3.14,58.51
DOC-00002289,秀珍,Gonzalo,Gynecology,613-200-7564,11,HOSP-SOU-00069,Seoul National University Hospital,dr.秀珍.gonzalo@seoulnationalunivers.com,3.64,82.35
DOC-00002290,Eleanora,Green,Psychiatry,05639 666912,5,HOSP-SOU-00069,Seoul National University Hospital,dr.eleanora.green@seoulnationalunivers.com,2.69,46.53
DOC-00002291,अनुष्का,Bond,Orthopedics,080-3479-0414,5,HOSP-SOU-00069,Seoul National University Hospital,dr.अनुष्का.bond@seoulnationalunivers.com,3.1,69.58
DOC-00002292,Mario,सिंह,Rheumatology,(011) 6167-8560,11,HOSP-SOU-00069,Seoul National University Hospital,dr.mario.सिंह@seoulnationalunivers.com,3.33,58.41
DOC-00002293,نبهان,Fogazzaro,Orthopedics,001-901-793-7165x89650,6,HOSP-SOU-00069,Seoul National University Hospital,dr.نبهان.fogazzaro@seoulnationalunivers.com,2.6,57.72
DOC-00002294,Eric,Kruschwitz,Psychiatry,010-0698-2623,13,HOSP-SOU-00070,Samsung Medical Center,dr.eric.kruschwitz@samsungmedicalcenter.com,3.18,60.89
DOC-00002295,Blas,Millán,Emergency Medicine,438.924.5259,9,HOSP-SOU-00070,Samsung Medical Center,dr.blas.millán@samsungmedicalcenter.com,2.92,59.88
DOC-00002296,정남,Bowen,Gynecology,+49 (0) 4136 619845,8,HOSP-SOU-00070,Samsung Medical Center,dr.정남.bowen@samsungmedicalcenter.com,2.94,58.61
DOC-00002297,淑华,Soto,Radiology,0421950568,7,HOSP-SOU-00070,Samsung Medical Center,dr.淑华.soto@samsungmedicalcenter.com,2.72,59.43
DOC-00002298,Sara,George,Oncology,+44(0)8081570394,9,HOSP-SOU-00070,Samsung Medical Center,dr.sara.george@samsungmedicalcenter.com,3.22,70.13
DOC-00002299,Débora,Bruce,Obstetrics,01743547097,4,HOSP-SOU-00070,Samsung Medical Center,dr.débora.bruce@samsungmedicalcenter.com,2.28,40.0
DOC-00002300,さゆり,Acosta,Cardiology,+34 846 126 135,22,HOSP-SOU-00070,Samsung Medical Center,dr.さゆり.acosta@samsungmedicalcenter.com,3.81,84.71
DOC-00002301,Igor,姚,Anesthesiology,+91 677 9920440,9,HOSP-SOU-00070,Samsung Medical Center,dr.igor.姚@samsungmedicalcenter.com,3.34,60.91
DOC-00002302,विशाल,Martins,Gynecology,03 10 01 81 50,17,HOSP-SOU-00070,Samsung Medical Center,dr.विशाल.martins@samsungmedicalcenter.com,3.81,81.57
DOC-00002303,Sergius,Caracciolo,Internal Medicine,080-1472-8578,13,HOSP-SOU-00070,Samsung Medical Center,dr.sergius.caracciolo@samsungmedicalcenter.com,2.88,62.95
DOC-00002304,Kyle,Williams,Ophthalmology,+34926 76 58 28,7,HOSP-SOU-00070,Samsung Medical Center,dr.kyle.williams@samsungmedicalcenter.com,3.31,64.64
DOC-00002305,Margot,Flynn,Pediatrics,08518891405,10,HOSP-SOU-00070,Samsung Medical Center,dr.margot.flynn@samsungmedicalcenter.com,2.67,50.0
DOC-00002306,Napoleone,Sanders,Psychiatry,13603641834,14,HOSP-SOU-00070,Samsung Medical Center,dr.napoleone.sanders@samsungmedicalcenter.com,3.43,60.06
DOC-00002307,Joséphine,Whitney,Surgery,00-7088-1706,15,HOSP-SOU-00070,Samsung Medical Center,dr.joséphine.whitney@samsungmedicalcenter.com,3.79,84.82
DOC-00002308,凯,Abad,Pediatrics,047-66467236,7,HOSP-SOU-00070,Samsung Medical Center,dr.凯.abad@samsungmedicalcenter.com,2.87,52.86
DOC-00002309,Kathleen,Dubois,Anesthesiology,828-416-7594x70957,9,HOSP-SOU-00070,Samsung Medical Center,dr.kathleen.dubois@samsungmedicalcenter.com,3.5,64.14
DOC-00002310,مكرّم,이,Anesthesiology,707-964-0092,9,HOSP-SOU-00070,Samsung Medical Center,dr.مكرّم.이@samsungmedicalcenter.com,2.86,62.2
DOC-00002311,Véronique,김,Obstetrics,064-757-2084,6,HOSP-SOU-00070,Samsung Medical Center,dr.véronique.김@samsungmedicalcenter.com,2.36,43.92
DOC-00002312,Josué,Marín,Surgery,043-388-8042,14,HOSP-SOU-00070,Samsung Medical Center,dr.josué.marín@samsungmedicalcenter.com,3.7,75.75
DOC-00002313,Nicholas,Turati,Surgery,(029) 2018 0389,18,HOSP-SOU-00070,Samsung Medical Center,dr.nicholas.turati@samsungmedicalcenter.com,3.74,75.52
DOC-00002314,Casey,त्रिवेदी,Gynecology,+34 902 84 90 15,16,HOSP-SOU-00070,Samsung Medical Center,dr.casey.त्रिवेदी@samsungmedicalcenter.com,3.44,58.99
DOC-00002315,شعيب,나,Psychiatry,1-318-978-9263,7,HOSP-SOU-00070,Samsung Medical Center,dr.شعيب.나@samsungmedicalcenter.com,2.61,46.78
DOC-00002316,亮介,张,Gynecology,14506797530,11,HOSP-SOU-00070,Samsung Medical Center,dr.亮介.张@samsungmedicalcenter.com,3.1,66.55
DOC-00002317,Danielle,최,Obstetrics,0300 652 6875,10,HOSP-SOU-00070,Samsung Medical Center,dr.danielle.최@samsungmedicalcenter.com,3.53,73.46
DOC-00002318,मनीषा,Steinberg,Internal Medicine,+1-416-289-6567x739,6,HOSP-SOU-00070,Samsung Medical Center,dr.मनीषा.steinberg@samsungmedicalcenter.com,2.73,49.65
DOC-00002319,彬,Randall,Oncology,052-458-6160,13,HOSP-SOU-00070,Samsung Medical Center,dr.彬.randall@samsungmedicalcenter.com,3.27,70.15
DOC-00002320,Sandor,Hayes,Obstetrics,054-937-0845,17,HOSP-SOU-00070,Samsung Medical Center,dr.sandor.hayes@samsungmedicalcenter.com,3.86,78.39
DOC-00002321,서준,Davis,Obstetrics,8274-1618,10,HOSP-SOU-00070,Samsung Medical Center,dr.서준.davis@samsungmedicalcenter.com,2.96,61.85
DOC-00002322,Dawn,Knapp,Anesthesiology,+44114 496 0029,12,HOSP-SOU-00070,Samsung Medical Center,dr.dawn.knapp@samsungmedicalcenter.com,2.9,58.22
DOC-00002323,Dorothy,胡,Gastroenterology,0900 994 5835,5,HOSP-SOU-00070,Samsung Medical Center,dr.dorothy.胡@samsungmedicalcenter.com,3.13,53.64
DOC-00002324,रत्नम,王,Surgery,0300-368-9649,9,HOSP-SOU-00070,Samsung Medical Center,dr.रत्नम.王@samsungmedicalcenter.com,2.69,48.71
DOC-00002325,Mauricio,谭,Psychiatry,18053632879,5,HOSP-SOU-00070,Samsung Medical Center,dr.mauricio.谭@samsungmedicalcenter.com,2.47,46.37
DOC-00002326,민재,孙,Cardiology,(236)791-5582x06510,9,HOSP-SOU-00070,Samsung Medical Center,dr.민재.孙@samsungmedicalcenter.com,2.78,58.92
DOC-00002327,Mackenzie,الدباغ,Gastroenterology,+39 01419627324,5,HOSP-SOU-00070,Samsung Medical Center,dr.mackenzie.الدباغ@samsungmedicalcenter.com,2.83,66.26
DOC-00002328,Woldemar,Gibilisco,Emergency Medicine,+4420 7496 0077,9,HOSP-SOU-00070,Samsung Medical Center,dr.woldemar.gibilisco@samsungmedicalcenter.com,3.1,68.87
DOC-00002329,लावण्या,آل عطفة,Internal Medicine,+441632 960 892,12,HOSP-SOU-00070,Samsung Medical Center,dr.लावण्या.آل عطفة@samsungmedicalcenter.com,3.54,73.37
DOC-00002330,Todd,林,Gastroenterology,001-906-711-9371x71616,17,HOSP-SOU-00070,Samsung Medical Center,dr.todd.林@samsungmedicalcenter.com,3.32,61.22
DOC-00002331,أريج,加藤,Psychiatry,09349422707,8,HOSP-SOU-00070,Samsung Medical Center,dr.أريج.加藤@samsungmedicalcenter.com,2.88,57.67
DOC-00002332,和也,안,Neurology,0695271521,12,HOSP-SOU-00070,Samsung Medical Center,dr.和也.안@samsungmedicalcenter.com,2.9,55.2
DOC-00002333,Héctor,das Neves,Oncology,03210370985,7,HOSP-SOU-00070,Samsung Medical Center,dr.héctor.das neves@samsungmedicalcenter.com,3.15,67.23
DOC-00002334,رائد,Maury,Oncology,0359946441,16,HOSP-SOU-00070,Samsung Medical Center,dr.رائد.maury@samsungmedicalcenter.com,3.23,70.97
DOC-00002335,Emiliana,छेत्री,Gynecology,038-98916254,6,HOSP-SOU-00070,Samsung Medical Center,dr.emiliana.छेत्री@samsungmedicalcenter.com,2.55,47.94
DOC-00002336,Maysa,孙,Emergency Medicine,5639 7801,5,HOSP-SOU-00070,Samsung Medical Center,dr.maysa.孙@samsungmedicalcenter.com,3.1,70.88
DOC-00002337,Justus,Bennett,Cardiology,08.0074.2794,3,HOSP-SOU-00070,Samsung Medical Center,dr.justus.bennett@samsungmedicalcenter.com,2.7,59.52
DOC-00002338,Luciano,Smith,Surgery,+33 4 90 78 00 13,4,HOSP-SOU-00070,Samsung Medical Center,dr.luciano.smith@samsungmedicalcenter.com,3.18,60.61
DOC-00002339,Katherine,Webster,Rheumatology,984.664.4370x4171,7,HOSP-SOU-00070,Samsung Medical Center,dr.katherine.webster@samsungmedicalcenter.com,3.03,63.38
DOC-00002340,서준,King,Cardiology,(031) 2365 7478,29,HOSP-SOU-00070,Samsung Medical Center,dr.서준.king@samsungmedicalcenter.com,3.83,69.85
DOC-00002341,Oreste,백,Obstetrics,13294520581,10,HOSP-SOU-00070,Samsung Medical Center,dr.oreste.백@samsungmedicalcenter.com,3.0,57.96
DOC-00002342,Raymond,石川,Neurology,080-9310-7789,9,HOSP-SOU-00071,Asan Medical Center,dr.raymond.石川@asanmedicalcenter.com,2.84,63.76
DOC-00002343,진우,고,Gynecology,667.568.6727x067,11,HOSP-SOU-00071,Asan Medical Center,dr.진우.고@asanmedicalcenter.com,3.01,68.36
DOC-00002344,مؤيّد,Miller,Internal Medicine,0832609054,12,HOSP-SOU-00071,Asan Medical Center,dr.مؤيّد.miller@asanmedicalcenter.com,2.75,62.83
DOC-00002345,Angela,Ferreira,Obstetrics,+34876 38 70 27,7,HOSP-SOU-00071,Asan Medical Center,dr.angela.ferreira@asanmedicalcenter.com,3.32,62.91
DOC-00002346,Ravy,Garcia,Emergency Medicine,+34 741 10 48 63,12,HOSP-SOU-00071,Asan Medical Center,dr.ravy.garcia@asanmedicalcenter.com,3.1,60.58
DOC-00002347,里佳,Camacho,Oncology,650-481-6509,10,HOSP-SOU-00071,Asan Medical Center,dr.里佳.camacho@asanmedicalcenter.com,3.03,63.64
DOC-00002348,Annegrete,佐藤,Dermatology,+39 07742783842,10,HOSP-SOU-00071,Asan Medical Center,dr.annegrete.佐藤@asanmedicalcenter.com,3.52,72.22
DOC-00002349,성호,Morgan,Radiology,+39 0321665353,14,HOSP-SOU-00071,Asan Medical Center,dr.성호.morgan@asanmedicalcenter.com,2.96,65.09
DOC-00002350,Sarina,Morgan,Obstetrics,02-7814-2278,17,HOSP-SOU-00071,Asan Medical Center,dr.sarina.morgan@asanmedicalcenter.com,3.91,69.17
DOC-00002351,Anne,朱,Anesthesiology,019-028-6367,4,HOSP-SOU-00071,Asan Medical Center,dr.anne.朱@asanmedicalcenter.com,3.17,73.32
DOC-00002352,Thomas,गावडे,Radiology,+1-938-467-4573x23771,4,HOSP-SOU-00071,Asan Medical Center,dr.thomas.गावडे@asanmedicalcenter.com,3.05,65.36
DOC-00002353,Lilla,Graham,Psychiatry,00059578904,14,HOSP-SOU-00071,Asan Medical Center,dr.lilla.graham@asanmedicalcenter.com,3.57,66.93
DOC-00002354,Destiny,Kade,Neurology,+1-335-459-9810,15,HOSP-SOU-00071,Asan Medical Center,dr.destiny.kade@asanmedicalcenter.com,3.41,76.08
DOC-00002355,Carol,Gilles,Anesthesiology,(707)795-6126,10,HOSP-SOU-00071,Asan Medical Center,dr.carol.gilles@asanmedicalcenter.com,3.29,67.58
DOC-00002356,रतन,Donnelly,Nephrology,08168148520,8,HOSP-SOU-00071,Asan Medical Center,dr.रतन.donnelly@asanmedicalcenter.com,3.07,69.09
DOC-00002357,Federica,भटनागर,Dermatology,1529.4030,4,HOSP-SOU-00071,Asan Medical Center,dr.federica.भटनागर@asanmedicalcenter.com,3.17,60.4
DOC-00002358,Cayetana,Gibson,Cardiology,036220148,10,HOSP-SOU-00071,Asan Medical Center,dr.cayetana.gibson@asanmedicalcenter.com,3.38,61.61
DOC-00002359,दर्शन,戴,Dermatology,+61-3-1934-4257,6,HOSP-SOU-00071,Asan Medical Center,dr.दर्शन.戴@asanmedicalcenter.com,2.72,48.29
DOC-00002360,Benicio,中村,Internal Medicine,84 3269 5291,10,HOSP-SOU-00071,Asan Medical Center,dr.benicio.中村@asanmedicalcenter.com,3.54,72.34
DOC-00002361,준영,Silva,Pediatrics,423.963.0111x489,12,HOSP-SOU-00071,Asan Medical Center,dr.준영.silva@asanmedicalcenter.com,3.39,65.57
DOC-00002362,शशी,Ferrán,Pediatrics,18549407318,9,HOSP-SOU-00071,Asan Medical Center,dr.शशी.ferrán@asanmedicalcenter.com,2.59,60.87
DOC-00002363,Miguel,김,Pediatrics,13785735651,12,HOSP-SOU-00071,Asan Medical Center,dr.miguel.김@asanmedicalcenter.com,2.92,57.65
DOC-00002364,Brenda,陈,Psychiatry,+55 (084) 5594-5460,13,HOSP-SOU-00071,Asan Medical Center,dr.brenda.陈@asanmedicalcenter.com,3.27,57.26
DOC-00002365,Jovan,حجار,Nephrology,13239093479,11,HOSP-SOU-00071,Asan Medical Center,dr.jovan.حجار@asanmedicalcenter.com,2.97,49.77
DOC-00002366,Alice,Jopich,Dermatology,018-039-1087,8,HOSP-SOU-00071,Asan Medical Center,dr.alice.jopich@asanmedicalcenter.com,3.12,65.55
DOC-00002367,Apollo,田中,Anesthesiology,(602)403-6330,3,HOSP-SOU-00071,Asan Medical Center,dr.apollo.田中@asanmedicalcenter.com,2.23,52.23
DOC-00002368,Tyler,Krebs,Internal Medicine,778-364-5400x5681,11,HOSP-SOU-00071,Asan Medical Center,dr.tyler.krebs@asanmedicalcenter.com,3.17,55.59
DOC-00002369,七夏,Viana,Emergency Medicine,+49(0) 170002855,8,HOSP-SOU-00071,Asan Medical Center,dr.七夏.viana@asanmedicalcenter.com,3.01,59.42
DOC-00002370,Sophia,شربتلي,Gynecology,(03)62128234,10,HOSP-SOU-00071,Asan Medical Center,dr.sophia.شربتلي@asanmedicalcenter.com,2.87,61.66
DOC-00002371,Melanie,邵,Neurology,+34866 96 84 12,6,HOSP-SOU-00071,Asan Medical Center,dr.melanie.邵@asanmedicalcenter.com,3.28,57.08
DOC-00002372,William,Norman,Oncology,04 98 85 57 74,20,HOSP-SOU-00071,Asan Medical Center,dr.william.norman@asanmedicalcenter.com,3.82,70.54
DOC-00002373,Harald,Fantozzi,Surgery,314.338.7956x92180,5,HOSP-SOU-00071,Asan Medical Center,dr.harald.fantozzi@asanmedicalcenter.com,2.62,55.24
DOC-00002374,رمحي,斉藤,Emergency Medicine,+91 5526864296,8,HOSP-SOU-00071,Asan Medical Center,dr.رمحي.斉藤@asanmedicalcenter.com,3.23,70.94
DOC-00002375,Heidemarie,伊藤,Dermatology,13056780589,8,HOSP-SOU-00071,Asan Medical Center,dr.heidemarie.伊藤@asanmedicalcenter.com,2.71,53.95
DOC-00002376,Matthew,Sanchez,Hematology,0734186015,16,HOSP-SOU-00071,Asan Medical Center,dr.matthew.sanchez@asanmedicalcenter.com,3.27,61.99
DOC-00002377,Amanda,Navarrete,Psychiatry,017-071-1049,5,HOSP-SOU-00071,Asan Medical Center,dr.amanda.navarrete@asanmedicalcenter.com,2.92,56.95
DOC-00002378,Fidel,वेंकटएसन,Internal Medicine,+39 04817007759,17,HOSP-SOU-00071,Asan Medical Center,dr.fidel.वेंकटएसन@asanmedicalcenter.com,3.67,70.05
DOC-00002379,Eugène,藤井,Pediatrics,0469309065,18,HOSP-SOU-00071,Asan Medical Center,dr.eugène.藤井@asanmedicalcenter.com,3.43,60.73
